Label,StartX,StartY,FinishX,FinishY
31,145.0260544,-37.7848257,145.1472473,-37.7848257
30,145.0260544,-37.78139546,145.1472473,-37.78139546
29,145.0260544,-37.77796521,145.1472473,-37.77796521
28,145.0260544,-37.77453497,145.1472473,-37.77453497
27,145.0260544,-37.77110473,145.1472473,-37.77110473
26,145.0260544,-37.76767448,145.1472473,-37.76767448
25,145.0260544,-37.76424424,145.1472473,-37.76424424
24,145.0260544,-37.760814,145.1472473,-37.760814
23,145.0260544,-37.75738375,145.1472473,-37.75738375
22,145.0260544,-37.75395351,145.1472473,-37.75395351
21,145.0260544,-37.75052327,145.1472473,-37.75052327
20,145.0260544,-37.74709302,145.1472473,-37.74709302
19,145.0260544,-37.74366278,145.1472473,-37.74366278
18,145.0260544,-37.74023254,145.1472473,-37.74023254
17,145.0260544,-37.73680229,145.1472473,-37.73680229
16,145.0260544,-37.73337205,145.1472473,-37.73337205
15,145.0260544,-37.72994181,145.1472473,-37.72994181
14,145.0260544,-37.72651156,145.1472473,-37.72651156
13,145.0260544,-37.72308132,145.1472473,-37.72308132
12,145.0260544,-37.71965108,145.1472473,-37.71965108
11,145.0260544,-37.71622083,145.1472473,-37.71622083
10,145.0260544,-37.71279059,145.1472473,-37.71279059
9,145.0260544,-37.70936035,145.1472473,-37.70936035
8,145.0260544,-37.7059301,145.1472473,-37.7059301
7,145.0260544,-37.70249986,145.1472473,-37.70249986
6,145.0260544,-37.69906962,145.1472473,-37.69906962
5,145.0260544,-37.69563937,145.1472473,-37.69563937
4,145.0260544,-37.69220913,145.1472473,-37.69220913
3,145.0260544,-37.68877889,145.1472473,-37.68877889
2,145.0260544,-37.68534864,145.1472473,-37.68534864
1,145.0260544,-37.6819184,145.1472473,-37.6819184
Label,StartX,StartY,FinishX,FinishY
A,145.0260544,-37.7848257,145.0260544,-37.6819184
B,145.030543,-37.7848257,145.030543,-37.6819184
C,145.0350317,-37.7848257,145.0350317,-37.6819184
D,145.0395203,-37.7848257,145.0395203,-37.6819184
E,145.0440089,-37.7848257,145.0440089,-37.6819184
F,145.0484975,-37.7848257,145.0484975,-37.6819184
G,145.0529862,-37.7848257,145.0529862,-37.6819184
H,145.0574748,-37.7848257,145.0574748,-37.6819184
I,145.0619634,-37.7848257,145.0619634,-37.6819184
J,145.066452,-37.7848257,145.066452,-37.6819184
K,145.0709407,-37.7848257,145.0709407,-37.6819184
L,145.0754293,-37.7848257,145.0754293,-37.6819184
M,145.0799179,-37.7848257,145.0799179,-37.6819184
N,145.0844065,-37.7848257,145.0844065,-37.6819184
O,145.0888952,-37.7848257,145.0888952,-37.6819184
P,145.0933838,-37.7848257,145.0933838,-37.6819184
Q,145.0978724,-37.7848257,145.0978724,-37.6819184
R,145.102361,-37.7848257,145.102361,-37.6819184
S,145.1068497,-37.7848257,145.1068497,-37.6819184
T,145.1113383,-37.7848257,145.1113383,-37.6819184
U,145.1158269,-37.7848257,145.1158269,-37.6819184
V,145.1203155,-37.7848257,145.1203155,-37.6819184
W,145.1248042,-37.7848257,145.1248042,-37.6819184
X,145.1292928,-37.7848257,145.1292928,-37.6819184
Y,145.1337814,-37.7848257,145.1337814,-37.6819184
Z,145.13827,-37.7848257,145.13827,-37.6819184
AA,145.1427587,-37.7848257,145.1427587,-37.6819184
AB,145.1472473,-37.7848257,145.1472473,-37.6819184
